iter	Passed	Remaining
741	2696	937
742	2699	933
743	2703	930
744	2706	926
745	2710	922
746	2714	919
747	2718	915
748	2721	912
749	2725	908
750	2729	904
751	2732	901
752	2735	897
753	2739	893
754	2742	890
755	2745	886
756	2749	882
757	2752	878
758	2755	875
759	2758	871
760	2762	867
761	2765	863
762	2769	860
763	2772	856
764	2775	852
765	2778	848
766	2781	844
767	2784	841
768	2787	837
769	2790	833
770	2793	829
771	2796	826
772	2799	822
773	2803	818
774	2806	814
775	2809	810
776	2812	807
777	2815	803
778	2818	799
779	2821	795
780	2824	792
781	2828	788
782	2831	784
783	2834	780
784	2837	777
785	2840	773
786	2843	769
787	2846	765
788	2850	762
789	2853	758
790	2856	754
791	2859	751
792	2863	747
793	2866	743
794	2870	740
795	2875	736
796	2878	733
797	2882	729
798	2885	725
799	2889	722
800	2892	718
801	2896	715
802	2899	711
803	2902	707
804	2905	703
805	2909	700
806	2912	696
807	2915	692
808	2918	689
809	2921	685
810	2925	681
811	2928	678
812	2931	674
813	2934	670
814	2937	666
815	2940	663
816	2943	659
817	2946	655
818	2949	651
819	2953	648
820	2956	644
821	2959	640
822	2962	637
823	2966	633
824	2969	629
825	2972	626
826	2975	622
827	2979	618
828	2982	615
829	2985	611
830	2988	607
831	2991	604
832	2994	600
833	2997	596
834	3000	592
835	3003	589
836	3006	585
837	3009	581
838	3013	578
839	3016	574
840	3019	570
841	3022	567
842	3025	563
843	3028	559
844	3031	556
845	3034	552
846	3038	548
847	3041	545
848	3044	541
849	3047	537
850	3050	534
851	3053	530
852	3056	526
853	3059	523
854	3062	519
855	3066	515
856	3070	512
857	3073	508
858	3077	505
859	3081	501
860	3084	497
861	3087	494
862	3091	490
863	3094	487
864	3097	483
865	3100	479
866	3104	476
867	3108	472
868	3111	469
869	3114	465
870	3117	461
871	3120	458
872	3123	454
873	3126	450
874	3129	447
875	3132	443
876	3135	439
877	3138	436
878	3141	432
879	3145	428
880	3148	425
881	3151	421
882	3154	417
883	3157	414
884	3160	410
885	3163	407
886	3166	403
887	3170	399
888	3173	396
889	3176	392
890	3180	389
891	3183	385
892	3186	381
893	3189	378
894	3193	374
895	3196	371
896	3200	367
897	3204	363
898	3208	360
899	3212	356
900	3215	353
901	3219	349
902	3222	346
903	3226	342
904	3229	339
905	3232	335
906	3236	331
907	3239	328
908	3242	324
909	3246	321
910	3249	317
911	3252	313
912	3256	310
913	3259	306
914	3262	303
915	3265	299
916	3268	295
917	3272	292
918	3275	288
919	3278	285
920	3282	281
921	3285	277
922	3288	274
923	3291	270
924	3294	267
925	3297	263
926	3300	259
927	3304	256
928	3307	252
929	3310	249
930	3314	245
931	3317	242
932	3320	238
933	3323	234
934	3326	231
935	3329	227
936	3332	224
937	3336	220
938	3339	216
939	3342	213
940	3345	209
941	3348	206
942	3351	202
943	3354	199
944	3357	195
945	3361	191
946	3364	188
947	3367	184
948	3371	181
949	3375	177
950	3378	174
951	3382	170
952	3385	166
953	3389	163
954	3392	159
955	3395	156
956	3398	152
957	3402	149
958	3405	145
959	3408	142
960	3411	138
961	3415	134
962	3418	131
963	3422	127
964	3425	124
965	3428	120
966	3431	117
967	3434	113
968	3438	109
969	3441	106
970	3444	102
971	3448	99
972	3451	95
